Stage;Epoch;TotalLoss;TripletLoss;BCELoss;Precision@K;Recall@K;mAP;FibroseF1;EmphysemF1;NoduleF1;MacroF1
Stage1;1;1.8404;1.1565;0.6840;0.4938;0.3292;0.5548;0.1111;0.0000;0.0000;0.1111
Stage1;2;1.5914;0.9623;0.6290;0.5187;0.3458;0.5742;0.6667;0.0000;0.0000;0.6667
Stage1;3;1.4921;0.8953;0.5968;0.5312;0.3542;0.5643;0.5161;0.0000;0.0000;0.5161
Stage1;4;1.3769;0.8161;0.5608;0.5094;0.3396;0.5645;0.4828;0.0000;0.0000;0.4828
Stage1;5;1.2911;0.7592;0.5319;0.5500;0.3667;0.5882;0.6061;0.0000;0.0000;0.6061
Stage2;6;1.6154;1.0320;0.5834;0.5187;0.3458;0.5693;0.0000;0.0000;0.0000;0.0000
Stage2;7;1.2513;0.6961;0.5552;0.5187;0.3458;0.5507;0.6471;0.0000;0.0000;0.6471
Stage2;8;1.0207;0.5039;0.5169;0.5125;0.3417;0.5553;0.6190;0.0000;0.0000;0.6190
Stage2;9;0.8767;0.3918;0.4848;0.5500;0.3667;0.5953;0.4848;0.0000;0.0000;0.4848
Stage2;10;0.7673;0.3176;0.4497;0.5375;0.3583;0.5794;0.0000;0.0000;0.0000;0.0000
Stage2;11;0.7103;0.3079;0.4024;0.5062;0.3375;0.5405;0.6061;0.0000;0.0000;0.6061
Stage2;12;0.6717;0.2931;0.3786;0.5625;0.3750;0.5785;0.5854;0.0000;0.0000;0.5854
Stage2;13;0.5223;0.1901;0.3322;0.5187;0.3458;0.5502;0.6000;0.0000;0.0000;0.6000
Stage2;14;0.4988;0.1872;0.3116;0.5344;0.3563;0.5661;0.5161;0.0000;0.0000;0.5161
Stage2;15;0.4319;0.1402;0.2917;0.5187;0.3458;0.5605;0.5854;0.0000;0.0000;0.5854
Stage2;16;0.5720;0.2785;0.2935;0.5156;0.3438;0.5422;0.6250;0.0000;0.0000;0.6250
Stage2;17;0.4021;0.1477;0.2543;0.5406;0.3604;0.5879;0.0000;0.0000;0.0000;0.0000
Stage2;18;0.3706;0.1350;0.2356;0.5281;0.3521;0.5557;0.6512;0.0000;0.0000;0.6512
Stage2;19;0.3108;0.1002;0.2106;0.5000;0.3333;0.5362;0.5625;0.0000;0.0000;0.5625
Stage2;20;0.2728;0.0815;0.1914;0.5156;0.3438;0.5692;0.6111;0.0000;0.0000;0.6111
Stage2;21;0.3323;0.1446;0.1877;0.5594;0.3729;0.5898;0.5882;0.0000;0.0000;0.5882
Stage2;22;0.2183;0.0650;0.1533;0.5406;0.3604;0.5605;0.3846;0.0000;0.0000;0.3846
Stage2;23;0.1933;0.0584;0.1349;0.5625;0.3750;0.5910;0.6286;0.0000;0.0000;0.6286
Stage2;24;0.1930;0.0548;0.1382;0.5594;0.3729;0.5757;0.3077;0.0000;0.0000;0.3077
Stage2;25;0.1735;0.0613;0.1121;0.5187;0.3458;0.5597;0.4667;0.0000;0.0000;0.4667
Stage2;26;0.1671;0.0666;0.1005;0.5250;0.3500;0.5660;0.2727;0.0000;0.0000;0.2727
Stage2;27;0.1489;0.0508;0.0980;0.5031;0.3354;0.5447;0.6667;0.0000;0.0000;0.6667
Stage2;28;0.1672;0.0758;0.0914;0.4969;0.3313;0.5418;0.6512;0.0000;0.0000;0.6512
Stage2;29;0.1217;0.0331;0.0885;0.5312;0.3542;0.5663;0.0000;0.0000;0.0000;0.0000
Stage2;30;0.0692;0.0104;0.0588;0.5281;0.3521;0.5728;0.3846;0.0000;0.0000;0.3846
