Stage;Epoch;TotalLoss;TripletLoss;BCELoss;Precision@K;Recall@K;mAP;FibroseF1;EmphysemF1;NoduleF1;MacroF1
Stage1;1;1.9092;1.2308;0.6784;0.6375;0.0850;0.5813;0.6915;0.0000;0.0000;0.6915
Stage1;2;1.5977;0.9574;0.6402;0.6493;0.0866;0.5813;0.5921;0.0000;0.0000;0.5921
Stage1;3;1.3755;0.7840;0.5914;0.6526;0.0870;0.5845;0.4885;0.0000;0.0000;0.4885
Stage1;4;1.2685;0.7070;0.5614;0.6632;0.0884;0.5805;0.4202;0.0000;0.0000;0.4202
Stage1;5;1.2213;0.6941;0.5272;0.6316;0.0842;0.5762;0.3750;0.0000;0.0000;0.3750
Stage2;6;1.3797;0.8420;0.5377;0.6684;0.0891;0.6045;0.5333;0.0000;0.0000;0.5333
Stage2;7;1.0193;0.5178;0.5015;0.6789;0.0905;0.6133;0.7039;0.0000;0.0000;0.7039
Stage2;8;0.8612;0.3857;0.4755;0.6697;0.0893;0.5982;0.4320;0.0000;0.0000;0.4320
Stage2;9;0.7638;0.3188;0.4451;0.6632;0.0884;0.5912;0.3929;0.0000;0.0000;0.3929
Stage2;10;0.6595;0.2473;0.4122;0.6474;0.0863;0.5896;0.3818;0.0000;0.0000;0.3818
Stage2;11;0.8600;0.4413;0.4187;0.6447;0.0860;0.5749;0.1087;0.0000;0.0000;0.1087
Stage2;12;0.5701;0.2059;0.3642;0.7059;0.0941;0.6305;0.5755;0.0000;0.0000;0.5755
Stage2;13;0.5013;0.1653;0.3360;0.7493;0.0999;0.6544;0.6624;0.0000;0.0000;0.6624
Stage2;14;0.3965;0.1071;0.2894;0.7447;0.0993;0.6567;0.5039;0.0000;0.0000;0.5039
Stage2;15;0.3510;0.0884;0.2626;0.7711;0.1028;0.6767;0.6294;0.0000;0.0000;0.6294
Stage2;16;0.4072;0.1620;0.2452;0.7763;0.1035;0.6966;0.7211;0.0000;0.0000;0.7211
Stage2;17;0.2834;0.0857;0.1977;0.7934;0.1058;0.6994;0.7050;0.0000;0.0000;0.7050
Stage2;18;0.2936;0.1023;0.1914;0.7592;0.1012;0.6664;0.4107;0.0000;0.0000;0.4107
Stage2;19;0.1889;0.0373;0.1516;0.6520;0.0869;0.6015;0.1667;0.0000;0.0000;0.1667
Stage2;20;0.2305;0.0806;0.1499;0.6316;0.0842;0.5621;0.1731;0.0000;0.0000;0.1731
Stage2;21;0.2549;0.1003;0.1546;0.7559;0.1008;0.6665;0.6429;0.0000;0.0000;0.6429
Stage2;22;0.1883;0.0605;0.1277;0.7191;0.0959;0.6517;0.5263;0.0000;0.0000;0.5263
Stage2;23;0.1625;0.0465;0.1160;0.7796;0.1039;0.6950;0.6986;0.0000;0.0000;0.6986
Stage2;24;0.1869;0.0867;0.1002;0.7711;0.1028;0.6961;0.5289;0.0000;0.0000;0.5289
Stage2;25;0.1403;0.0458;0.0945;0.6546;0.0873;0.5932;0.2353;0.0000;0.0000;0.2353
Stage2;26;0.1405;0.0502;0.0903;0.7500;0.1000;0.6703;0.3654;0.0000;0.0000;0.3654
Stage2;27;0.0912;0.0228;0.0684;0.7191;0.0959;0.6647;0.5581;0.0000;0.0000;0.5581
Stage2;28;0.1322;0.0561;0.0762;0.6842;0.0912;0.6236;0.2574;0.0000;0.0000;0.2574
Stage2;29;0.0991;0.0255;0.0736;0.7967;0.1062;0.7122;0.7355;0.0000;0.0000;0.7355
Stage2;30;0.0812;0.0239;0.0573;0.7862;0.1048;0.7036;0.7381;0.0000;0.0000;0.7381
