Stage;Epoch;TotalLoss;TripletLoss;BCELoss;Precision@K;Recall@K;mAP;FibroseF1;EmphysemF1;NoduleF1;MacroF1
Stage1;1;1.6090;0.9228;0.6861;0.5531;0.3688;0.6030;0.7368;0.0000;0.0000;0.7368
Stage1;2;1.4055;0.7766;0.6289;0.6031;0.4021;0.6101;0.7568;0.0000;0.0000;0.7568
Stage1;3;1.2030;0.6259;0.5771;0.5875;0.3917;0.6096;0.7179;0.0000;0.0000;0.7179
Stage1;4;0.9413;0.4411;0.5002;0.6031;0.4021;0.6372;0.7778;0.0000;0.0000;0.7778
Stage1;5;0.6633;0.2503;0.4130;0.5812;0.3875;0.6387;0.7778;0.0000;0.0000;0.7778
Stage2;6;0.5505;0.1789;0.3716;0.5250;0.3500;0.5808;0.7368;0.0000;0.0000;0.7368
Stage2;7;0.3448;0.0850;0.2599;0.6000;0.4000;0.6401;0.7368;0.0000;0.0000;0.7368
Stage2;8;0.2520;0.0682;0.1838;0.6094;0.4063;0.6572;0.7857;0.0000;0.0000;0.7857
Stage2;9;0.1962;0.0568;0.1394;0.5844;0.3896;0.6081;0.7778;0.0000;0.0000;0.7778
Stage2;10;0.2026;0.0562;0.1464;0.5781;0.3854;0.6004;0.1176;0.0000;0.0000;0.1176
Stage2;11;0.1705;0.0468;0.1237;0.5719;0.3812;0.6346;0.7333;0.0000;0.0000;0.7333
Stage2;12;0.0885;0.0152;0.0733;0.5719;0.3813;0.6227;0.7317;0.0000;0.0000;0.7317
Stage2;13;0.1039;0.0339;0.0701;0.5406;0.3604;0.5978;0.7273;0.0000;0.0000;0.7273
Stage2;14;0.0739;0.0166;0.0574;0.5781;0.3854;0.6255;0.6897;0.0000;0.0000;0.6897
Stage2;15;0.1128;0.0204;0.0924;0.5844;0.3896;0.6268;0.7500;0.0000;0.0000;0.7500
Stage2;16;0.0934;0.0259;0.0675;0.6062;0.4042;0.6439;0.7333;0.0000;0.0000;0.7333
Stage2;17;0.1571;0.0580;0.0991;0.7031;0.4687;0.7104;0.8000;0.0000;0.0000;0.8000
Stage2;18;0.1124;0.0425;0.0699;0.5469;0.3646;0.5985;0.7500;0.0000;0.0000;0.7500
Stage2;19;0.0622;0.0109;0.0513;0.5312;0.3542;0.5876;0.7143;0.0000;0.0000;0.7143
Stage2;20;0.0481;0.0158;0.0324;0.5750;0.3833;0.6021;0.7273;0.0000;0.0000;0.7273
Stage2;21;0.0519;0.0142;0.0377;0.5594;0.3729;0.5956;0.6809;0.0000;0.0000;0.6809
Stage2;22;0.1899;0.0709;0.1190;0.6594;0.4396;0.6780;0.7368;0.0000;0.0000;0.7368
Stage2;23;0.1202;0.0384;0.0818;0.5938;0.3958;0.6252;0.6897;0.0000;0.0000;0.6897
Stage2;24;0.0579;0.0165;0.0414;0.6344;0.4229;0.6849;0.8485;0.0000;0.0000;0.8485
Stage2;25;0.0419;0.0098;0.0321;0.6125;0.4083;0.6821;0.8000;0.0000;0.0000;0.8000
Stage2;26;0.0885;0.0226;0.0659;0.6469;0.4313;0.6799;0.7586;0.0000;0.0000;0.7586
Stage2;27;0.2179;0.1189;0.0990;0.6437;0.4292;0.6567;0.8108;0.0000;0.0000;0.8108
Stage2;28;0.0730;0.0279;0.0451;0.7250;0.4833;0.7348;0.8235;0.0000;0.0000;0.8235
Stage2;29;0.0148;0.0000;0.0148;0.6656;0.4437;0.6750;0.7742;0.0000;0.0000;0.7742
Stage2;30;0.0102;0.0000;0.0102;0.6938;0.4625;0.7145;0.8235;0.0000;0.0000;0.8235
