Stage;Epoch;TotalLoss;TripletLoss;BCELoss;Precision@K;Recall@K;mAP;FibroseF1;EmphysemF1;NoduleF1;MacroF1
Stage1;1;1.6368;0.9519;0.6849;0.6434;0.0858;0.5975;0.7470;0.0000;0.0000;0.7470
Stage1;2;1.4529;0.8215;0.6314;0.6513;0.0868;0.5939;0.5937;0.0000;0.0000;0.5937
Stage1;3;1.2812;0.6980;0.5832;0.6079;0.0811;0.5581;0.6554;0.0000;0.0000;0.6554
Stage1;4;1.0438;0.5087;0.5351;0.6586;0.0878;0.6069;0.7264;0.0000;0.0000;0.7264
Stage1;5;0.7490;0.2988;0.4502;0.6737;0.0898;0.6234;0.7300;0.0000;0.0000;0.7300
Stage2;6;0.5629;0.1847;0.3782;0.6447;0.0860;0.6026;0.7081;0.0000;0.0000;0.7081
Stage2;7;0.3468;0.0858;0.2610;0.8197;0.1093;0.7146;0.8182;0.0000;0.0000;0.8182
Stage2;8;0.3656;0.1231;0.2426;0.8342;0.1112;0.7546;0.8435;0.0000;0.0000;0.8435
Stage2;9;0.1984;0.0465;0.1519;0.8368;0.1116;0.7554;0.8816;0.0000;0.0000;0.8816
Stage2;10;0.1987;0.0729;0.1258;0.8368;0.1116;0.7494;0.8156;0.0000;0.0000;0.8156
Stage2;11;0.2192;0.0782;0.1410;0.8882;0.1184;0.7742;0.8092;0.0000;0.0000;0.8092
Stage2;12;0.1486;0.0429;0.1058;0.8711;0.1161;0.7662;0.8345;0.0000;0.0000;0.8345
Stage2;13;0.0590;0.0023;0.0567;0.8697;0.1160;0.7853;0.9221;0.0000;0.0000;0.9221
Stage2;14;0.2079;0.0955;0.1124;0.8763;0.1168;0.7930;0.8589;0.0000;0.0000;0.8589
Stage2;15;0.1567;0.0551;0.1016;0.8605;0.1147;0.7579;0.8066;0.0000;0.0000;0.8066
Stage2;16;0.1802;0.0847;0.0955;0.7947;0.1060;0.7089;0.8105;0.0000;0.0000;0.8105
Stage2;17;0.0985;0.0351;0.0634;0.9118;0.1216;0.8379;0.9178;0.0000;0.0000;0.9178
Stage2;18;0.0339;0.0008;0.0331;0.8875;0.1183;0.8175;0.9342;0.0000;0.0000;0.9342
Stage2;19;0.0137;0.0000;0.0137;0.7072;0.0943;0.6447;0.7978;0.0000;0.0000;0.7978
Stage2;20;0.0097;0.0000;0.0097;0.6013;0.0802;0.5456;0.6727;0.0000;0.0000;0.6727
Stage2;21;0.2303;0.1087;0.1216;0.8322;0.1110;0.7654;0.7579;0.0000;0.0000;0.7579
Stage2;22;0.1887;0.0931;0.0956;0.6105;0.0814;0.5462;0.5484;0.0000;0.0000;0.5484
Stage2;23;0.0349;0.0034;0.0315;0.7072;0.0943;0.6559;0.7978;0.0000;0.0000;0.7978
Stage2;24;0.0438;0.0154;0.0283;0.8191;0.1092;0.7282;0.7565;0.0000;0.0000;0.7565
Stage2;25;0.0140;0.0000;0.0140;0.8651;0.1154;0.7990;0.8690;0.0000;0.0000;0.8690
Stage2;26;0.0081;0.0000;0.0081;0.8151;0.1087;0.7393;0.7849;0.0000;0.0000;0.7849
Stage2;27;0.0048;0.0000;0.0048;0.8612;0.1148;0.7760;0.8805;0.0000;0.0000;0.8805
Stage2;28;0.0030;0.0000;0.0030;0.8658;0.1154;0.7710;0.8727;0.0000;0.0000;0.8727
Stage2;29;0.0037;0.0000;0.0037;0.8737;0.1165;0.7815;0.8765;0.0000;0.0000;0.8765
Stage2;30;0.0083;0.0000;0.0083;0.6368;0.0849;0.5764;0.6791;0.0000;0.0000;0.6791
